Nest Camera,1581620284.279933,-36.0
Nest Camera,1581620284.291954,-40.0
Amazon Echo,1581620284.315285,-40.0
Nest Camera,1581620284.328294,-36.0
Amazon Echo,1581620284.328295,-41.0
Nest Camera,1581620284.329908,-40.0
Nest Camera,1581620284.365077,-36.0
Nest Camera,1581620284.369848,-40.0
Nest Camera,1581620284.369852,-40.0
Nest Camera,1581620284.372942,-40.0
Amazon Echo,1581620284.408226,-40.0
Nest Camera,1581620284.40852,-36.0
Nest Camera,1581620284.409683,-40.0
Nest Camera,1581620284.449549,-36.0
Nest Camera,1581620284.45407,-40.0
Amazon Echo,1581620284.488504,-39.0
Amazon Echo,1581620284.488507,-40.0
Nest Camera,1581620284.516835,-36.0
Nest Camera,1581620284.517459,-36.0
Nest Camera,1581620284.536838,-40.0
Amazon Echo,1581620284.554988,-40.0
Amazon Echo,1581620284.569996,-40.0
Nest Camera,1581620284.572178,-36.0
Nest Camera,1581620284.589302,-40.0
Nest Camera,1581620284.624545,-36.0
Nest Camera,1581620284.627078,-40.0
Amazon Echo,1581620284.635033,-39.0
Nest Camera,1581620284.662835,-36.0
Nest Camera,1581620284.67498,-40.0
Amazon Echo,1581620284.708795,-39.0
Nest Camera,1581620284.709983,-36.0
Amazon Echo,1581620284.716442,-39.0
Nest Camera,1581620284.722198,-40.0
Nest Camera,1581620284.758178,-36.0
Nest Camera,1581620284.765754,-49.0
Nest Camera,1581620284.804717,-36.0
Nest Camera,1581620284.806116,-40.0
Nest Camera,1581620284.841422,-37.0
Nest Camera,1581620284.844932,-50.0
Amazon Echo,1581620284.878907,-39.0
Nest Camera,1581620284.885867,-36.0
Nest Camera,1581620284.889334,-40.0
Nest Camera,1581620284.889832,-40.0
Amazon Echo,1581620284.893041,-39.0
Vizio SmartTV,1581620284.89583,-52.0
Nest Camera,1581620284.899759,-40.0
Nest Camera,1581620284.935978,-36.0
Nest Camera,1581620284.940303,-40.0
Amazon Echo,1581620284.959461,-39.0
Vizio SmartTV,1581620284.965547,-55.0
Vizio SmartTV,1581620284.965553,-55.0
Amazon Echo,1581620284.972403,-39.0
Nest Camera,1581620284.975452,-36.0
Vizio SmartTV,1581620284.993751,-55.0
Amazon Echo,1581620285.039535,-39.0
Nest Camera,1581620285.044412,-36.0
Amazon Echo,1581620285.052306,-39.0
Nest Camera,1581620285.052914,-40.0
Nest Camera,1581620285.095754,-36.0
Nest Camera,1581620285.102947,-40.0
Amazon Echo,1581620285.119864,-40.0
Amazon Echo,1581620285.132519,-40.0
Nest Camera,1581620285.14089,-36.0
Nest Camera,1581620285.145369,-41.0
Nest Camera,1581620285.146171,-41.0
Nest Doorbell,1581620285.164951,-36.0
Nest Doorbell,1581620285.164961,-37.0
Nest Doorbell,1581620285.165555,-36.0
Nest Doorbell,1581620285.165559,-37.0
Nest Camera,1581620285.181827,-36.0
Nest Camera,1581620285.19849,-41.0
Nest Camera,1581620285.199293,-41.0
Amazon Echo,1581620285.199301,-40.0
Nest Doorbell,1581620285.200187,-36.0
Nest Doorbell,1581620285.200679,-36.0
Nest Doorbell,1581620285.201245,-36.0
Nest Doorbell,1581620285.202373,-36.0
Nest Doorbell,1581620285.202381,-37.0
Amazon Echo,1581620285.216627,-40.0
Nest Camera,1581620285.234485,-37.0
Nest Doorbell,1581620285.237539,-36.0
Nest Camera,1581620285.241698,-41.0
Nest Camera,1581620285.277316,-37.0
Nest Camera,1581620285.279001,-41.0
Amazon Echo,1581620285.279443,-40.0
Nest Camera,1581620285.279984,-41.0
Amazon Echo,1581620285.279992,-40.0
Nest Camera,1581620285.318731,-37.0
Nest Camera,1581620285.367651,-37.0
Nest Camera,1581620285.369889,-41.0
Amazon Echo,1581620285.372467,-40.0
Nest Camera,1581620285.404982,-46.0
Nest Camera,1581620285.405905,-49.0
Amazon Echo,1581620285.439065,-40.0
Amazon Echo,1581620285.439071,-40.0
Amazon Echo,1581620285.439073,-40.0
Amazon Echo,1581620285.439075,-40.0
Amazon Echo,1581620285.439515,-40.0
Amazon Echo,1581620285.43952,-40.0
Amazon Echo,1581620285.439522,-40.0
Amazon Echo,1581620285.439524,-40.0
Nest Camera,1581620285.441329,-37.0
Amazon Echo,1581620285.452544,-40.0
Nest Camera,1581620285.470343,-49.0
WeMo Smart Plug,1581620285.476209,-41.0
Nest Camera,1581620285.505502,-37.0
Nest Camera,1581620285.50703,-41.0
Amazon Echo,1581620285.533505,-40.0
Amazon Echo,1581620285.533509,-40.0
Amazon Echo,1581620285.53351,-40.0
Nest Camera,1581620285.542399,-37.0
Nest Camera,1581620285.544422,-42.0
Nest Camera,1581620285.580485,-46.0
Nest Camera,1581620285.588929,-42.0
Amazon Echo,1581620285.600276,-40.0
Amazon Echo,1581620285.612182,-40.0
Nest Camera,1581620285.624116,-38.0
Nest Camera,1581620285.665519,-38.0
Nest Camera,1581620285.666884,-42.0
"Canary Connect, Inc.",1581620285.676401,-42.0
